제목,작성일,본문,이미지 저장 경로,PDF 저장 경로,게시글 링크,요약,키워드
2025 스컬피아 신진작가 공모전 (2025 Sculpia Rising Artist Festa - SRAF),D-27,"2025 스컬피아 신진작가 공모전 (2025 Sculpia Rising Artist Festa - SRAF)
○ 공모개요
-
아트 커머스 플랫폼 스컬피아는 조형, 회화, 일러스트, 캐릭터 디자인 등 다양한 장르의 창의적인 세계관을 가진
신진 작가들과 함께 3D프린팅을 활용한 에디션을 제작하고, 세상에 선보이는 프로젝트를 시작합니다.
본 프로젝트는 신진작가의 미술시장 진입을 돕고 지속 가능한 예술 활동을 위해
기획되었으며, 많은 관심과 적극적인 참여를 기대합니다.
○ 공모주제
-
조형, 회화, 일러스트, 아트토이 등 3D 프린팅을 통해 구현 할 수 있는 시각 예술 분야
○ 기간 및 일정
-
접수 2025.06.01~2025.07.01
- 발표 2025.07.07(월) 합격자 개별 연락
공식 홈페이지 및 인스타그램 공고
○ 지원자격
-
개인전 1회 또는 단체전 2회 이상 참가자
- 지역, 국적 무관
○ 접수방법
-
이메일 접수 (sculpia@gluck.co.kr)
○ 출품규격
-
모든 자료는 PDF 파일로 변환하여
하나의 파일로 압축한 뒤 제출
○ 제출서류
[작가 이력서 (자유 양식)]
- 포트폴리오 (작품 이미지 5점 이상)
- 제목 / 연도 / 크기 / 재료 / 설명 포함
[작가 노트]
- 이번 공모전을 통해 함께 실현하고 싶은 작업 방향
- 입체 전환 또는 에디션 아이디어 제안 (자유 양식 / 다각도스케치, 상세디자인)
○ 심사기준
-
창의성 및 독창성 (작가 고유의 세계관, 시각적 언어)
- 입체 구현 가능성 (조형적 전환 잠재력)
- 심미성 및 완성도
○ 시상내역
- 3인
[3D프린팅 기반 에디션 제작 지원 (500만원 상당)]
- 3D 모델링 지원 (2D 디자인 또는 조형물 3D 데이터화)
- 고해상도 SLA방식 3D프린팅 생산 지원
- 샌딩 및 도색 등 후가공 일괄 지원
- 에디션 전용 패키지 제작
- 작품별 디지털 보증서 발급 지원
[온라인 유통 및 판매 지원]
- 스컬피아 공식 홈페이지 입점 및 판매 지원
[콘텐츠 기반 마케팅]
- 작가 인터뷰, 작업과정 콘텐츠, 메이킹 영상 등 제작
- 스컬피아 공식 SNS 및 뉴스레터 홍보
- 아트/디자인 전문 매체 또는 계정과의 공동 캠페인 진행
[향후 브랜드 및 기관 협업 우선권]
- 브랜드 콜라보레이션, 협업 에디션 개발 기회 제공
[오프라인 전시]
- 스컬피아 쇼룸 전시
○ 유의사항
-
모든 자료는 하나의 파일로 압축하여 파일명을
""2025 SRAF (작가명).zip""으로 표기하여 제출 부탁드립니다.
○ 문의
-
sculpia@gluck.co.kr",allcon_output/2025 스컬피아 신진작가 공모전 2025 Sculpia Rising Artist Fest.jpg,,https://www.all-con.co.kr/view/contest/525855,"2025년 스컬피아 신진작가 공모전이 개최되며, 조형, 회화, 일러스트, 캐릭터 디자인 등 다양한 장르의 신진 작가들이 참여할 수 있으며, 3D 프린팅을 활용한 에디션 제작 프로젝트로 진행됩니다.","공모전, 신진작가, 3D 프린팅"
2025 울산조선해양축제 기발한 배 콘테스트&아이디어 공모전,D-16,"[기발한배 콘테스트 모집]
○ 공모내용
-
배에 대한 무한한 상상력을 통해 재활용품을 이용한 '기발한배' 제작
○ 대회일시
-
가족/일반부 2025.07.19.(토) 10:00~17:30
- 대학부 2025.07.20.(일) 10:00~17:30
○ 대회장소
-
울산 동구 일산해수욕장
○ 참가접수
-
대학부, 가족/일반부 각 50개팀 (팀당 2~6인 이내 / 기준 4인)
○ 접수방법
-
울산조선해양축제 홈페이지 온라인 접수
https://www.ussf.co.kr/
○ 접수일정
-
2025.05.21.(수)~06.20.(금)
○ 시상내역
-
대상(1팀) 300만원, 최우수(1팀) 100만원, 우수(3팀) 50만원, 장려(5팀) 30만원
○ 작품규격
-
최소 1m 이상으로 1명 이상 승선 가능한 작품
- 재활용품 참가자 본인 준비
[기발한배 아이디어 공모전]
○ 공모주제
-
미래의 꿈을 실은 희망의 배
○ 응모자격
-
제한없음
○ 출품제한
-
개인/팀별 2점 이내
○ 접수방법
-
울산조선해양축제 홈페이지 온라인 접수
https://www.ussf.co.kr/
○ 접수기간
-
2025.05.21.(수)~06.20.(금)
○ 수상작발표
-
2025.07.11.(금) (예정) / 홈페이지 게시 및 개별 통지
○ 전시
-
2025.07.18.(금)~07.20.(일) / 울산조선해양축제 현장
○ 시상내역
-
대상(1팀) 100만원, 최우수상(1팀) 50만원, 우수상(2팀) 30만원, 장려상(5팀) 20만원, 입상(10팀) 10만원
- 전체 수상자 추진위원장상(상장)
○ 문의
- ☏
울산조선해양축제운영사무국 052-716-5007
※ 상세내용은 2025 울산조선해양축제 홈페이지에서 확인하세요!",allcon_output/2025 울산조선해양축제 기발한 배 콘테스트아이디어 공모전.jpg,,https://www.all-con.co.kr/view/contest/525852,"'기발한배 콘테스트'와 '기발한배 아이디어 공모전'이 울산 동구 일산해수욕장에서 2025년 7월에 개최되며, 참가접수는 울산조선해양축제 홈페이지를 통해 가능하다.","기발한배 콘테스트, 기발한배 아이디어 공모전, 울산조선해양축제"
2025 축산유통 국민참여 혁신 경진대회,D-26,"﻿2025 축산유통 국민참여 혁신 경진대회
○ 공모개요
- 국미 여러분의 소중한 목소리에 귀 기울이고, 우리 모두가 체감할 수 있는 더 나은 축산 유통 서비스를 함께 만들어가기 위해
'2025 축산유통 국민참여 혁신 경진대회'를 개최합니다.
내 아이디어로 혁신하는 축산유통 서비스를 국민 여러분의 손으로 직접 만들어 주세요!
○ 공모주제
-
축산물 품질, 이력, 유통 등 다양한 분야에서 서비스 개선 및 신사업 발굴을 위한 아이디어 공모
• 기획 분야: 정책지원(축산유통 디지털화, 스마트축산 활성화)
• 자율 분야: 품질평가·이력제도·축산유통·정책지원·상생협력 등
○ 기간 및 일정
-
공모 기간: 2025년 5월 26일(월)~6월 30일(월)
- 1차 심사 : 7월 초 예정
- 2차 심사 : 7월 말 예정
- 결과 발표 : 8월 중(포상 일정은 추후 결정)
○ 지원자격
-
축산 유통 서비스 개선에 관심 있는 국민 누구나 (소비자, 축산업 종사자, 학계, 대학생 등)
○ 접수방법
-
일반 참여 : 구글폼 내 양식에 따라 기획안 작성 후 제출, 또는 이메일 제출
- 영상 참여 : 영상 파일로 규격을 맞추어 기획안 제작 후 이메일 제출(ekape@kois.co.kr)
○ 시상내역
-
최우수상 : 100만 원(1점)
- 우수상 : 50만 원(1점)
- 장려상 : 25만 원(2점)
- 참가상 : 1만 원 상당 모바일 쿠폰(50건)
○ 문의
-
국민참여 혁신 경진대회 운영사무국
TEL. 070-5100-4188
email : ekape@kois.co.kr",allcon_output/2025 축산유통 국민참여 혁신 경진대회.jpg,,https://www.all-con.co.kr/view/contest/525851,"2025년에 개최되는 '축산유통 국민참여 혁신 경진대회'는 축산물 품질, 이력, 유통 등의 서비스 개선 및 신사업 발굴 아이디어를 공모하며, 참여 자격은 축산 유통 서비스 개선에 관심 있는 국민 누구나로, 공모 기간은 2025년 5월 26일부터 6월 30일까지다.","축산유통 국민참여 혁신 경진대회, 아이디어 공모, 2025년 5월 26일~6월 30일"
2025년 아태기후센터 기후위기 숏폼 공모전,D-26,"2025년 아태기후센터 기후위기 숏폼 공모전
○ 공모개요
-
아태기후센터(APCC)에서는 센터 설립 20주년을 맞이하여, 아시아태평양지역 내 센터의 활동에 대한
인지도 제고 및 기후위기에 대한 대국민 경각심 고취를 위해 다음과 같이 기후위기 숏폼 공모전을 진행합니다.
○ 공모주제
-
기후위기 시대를 말하다
- (예시) 기후위기의 심각성(폭염, 장마, 생물다양성 감소 등), 생활 속 기후위기 대응 실천방안 등
○ 기간 및 일정
-
접수기간: 2025.5.26(월) ~ 6.30.(월)
- 결과발표: 2025.7.21.(월) 예정
○ 지원자격
-
대한민국 국민 누구나 참여 가능 (개인 및 3인 이하로 구성된 단체)
- 1인/팀 당 1 작품 출품으로 제한
○ 접수방법
-
제출서류 다운로드 → 양식 작성 후 출품작과 함께 이메일 제출 (alliswell1122@apcc21.org)
○ 출품규격
-
가로 1,080px*세로 1,920px
- 60초 이내의 짧은 영상
○ 제출서류
-
공모전 참가 신청서
- 개인정보 수집 이용 동의서
- 초상권자 개인정보 수집 동의서 (필요시)
- 제작 영상
○ 심사기준
항 목
배점
(%)
주요내용
주제 적합성
20
제시된 공모주제에 적합한가
창의성
,
독창성
20
참신하고 독창적인 아이디어가 포함됐는가
전달력
,
공감도
20
시청자의 공감을 얻어낼 수 있는가
완성도
(
퀄리티
)
20
작품의 질적 완성도가 높은가
확산 가능성
20
누리집
, SNS
등 효과적인 확산이 가능한가
계
100
○ 시상내역
구 분
단위
(
점
)
시상금액
(
만원
)
비고
대 상
1
200
과기부장관 수여
최우수상
1
100
기상청장 수여
우 수 상
3
50
기상청장 수여
장 려 상
5
10
아태기후센터원장 수여
참 가 상
10
5
-
○ 유의사항
-
세부사항은 붙임파일 참조
○ 문의
-
아태기후센터 alliswell1122@apcc21.org",allcon_output/2025년 아태기후센터 기후위기 숏폼 공모전.jpg,https://www.all-con.co.kr/view/contest/525845,2025년 아태기후센터에서는 센터 설립 20주년을 맞이하여 아시아태평양지역 내 센터의 활동에 대한 인지도 제고 및 기후위기에 대한 대국민 경각심 고취를 위해 기후위기 숏폼 공모전을 진행합니다.,"2025년, 아태기후센터, 공모전"
"「자연을 걷고, 순간을 담다. 」전북 생태관광 및 천리길 사진 및 숏폼 공모전",D-95,"「자연을 걷고, 순간을 담다. 」
전북 생태관광 및 천리길 사진 및 숏폼 공모전
○ 공모주제
-
전북 생태관광지 및 천리길을 주제로한 자연, 사람, 길, 이야기, 감동, 회복, 생명 등을 표현한 사진 또는 숏폼
○ 기간 및 일정
-
접수기간 : 2025. 6. 9. ~ 9. 7.(약 3개월)
○ 지원자격
-
대한민국 국민 누구나(개인 또는 팀 단위 참가 가능)
○ 접수방법
-
이메일 접수(jeonbukecotour2@naver.com)
○ 시상내역
-
총 38명, 상장 및 시상금 560만원
○ 문의
-
전북생태관광육성지원센터(☎063-224-1966)",allcon_output/자연을 걷고 순간을 담다 전북 생태관광 및 천리길 사진 및 숏폼 공모전.jpg,,https://www.all-con.co.kr/view/contest/525844,"전북 생태관광 및 천리길을 주제로 하는 사진 및 숏폼 공모전이 2025년 6월 9일부터 9월 7일까지 진행되며, 대한민국 국민 누구나 참가 가능하다.","전북 생태관광, 천리길, 공모전"
충청광역연합 새 얼굴 심벌(CI) 디자인 공모전,D-26,"충청광역연합 새 얼굴 심벌(CI) 디자인 공모전
○ 공모명
-
⌜충청광역연합 새 얼굴⌟ 심벌(CI) 디자인 공모전
○ 공모주제
-
충청광역연합 미래비전과 정체성을 담은 심벌(CI) 디자인
○ 기간 및 일정
-
2025.5.28.(수) ~ 6.30.(월)  ※ 24:00까지 도착분에 한함
○ 지원자격
-
제한없음  ※ 전국민 대상
○ 접수방법
-
온라인 접수(우편·방문 접수 불가) ※ 1인 1작품 제출 제한함.
○ 출품규격
-
간단한 손 그림(연필 스케치)부터 전문 디자인까지 자유롭게 표현
- 이미지 파일(jpg, gif, png 등) 응모신청서에 삽입
※ AI(Adobe Illustrator)파일로 작업한 경우, JPG로 신청서에 삽입 후 파일 별도 첨부
○ 제출서류
-
공모전 응모신청서(작품 이미지, 간단한 작품 설명 포함) 1부
- 개인정보 수집 및 이용동의서 1부
- 지식(저작)재산권 양도 동의서 1부
- 「충청광역연합 새 얼굴」 심벌(CI) 디자인 공모전 응모 작품 1부
※ 충청광역연합 홈페이지(
https://chungcheongmu.go.kr/www/index.do
) → 연합소식 → 고시/공고
→ 「충청광역연합 새 얼굴」 심벌(CI) 디자인 공모전에서 서식 다운로드
○ 시상내역
-
총상금 200만원(대상 1명 100만원, 우수 1명 40만원, 장려 3명 각 20만원)
○ 문의
- ☏
044-251-3410, 3412",allcon_output/충청광역연합 새 얼굴 심벌CI 디자인 공모전.jpg,,https://www.all-con.co.kr/view/contest/525840,"전국민 대상으로 충청광역연합의 새로운 심벌 디자인을 공모하는 공모전이 2025년 5월 28일부터 6월 30일까지 진행되며, 온라인으로만 접수 가능하다.","전국민 대상, 심벌 디자인, 공모전"
2025년 강원특별자치도 규제개선 과제 공모,D-36,"2025년 강원특별자치도 규제개선 과제 공모
○ 공모개요
-
민생규제, 지역숙원규제와 기업규제 개선 과제를 발굴하기 위해 아래와 같이 공모를 진행하오니
국민 여러분의 많은 관심과 적극적인 참여 바랍니다.
○ 공모주제
-
민생규제, 지역숙원규제 및 기업규제 개선 (첨부 공고문 내 '공모주제 세부내용' 참조)
- 일자리·주거, 소상공인, 저출생, 국민 안전 등의 분야에서 민생을 저해하는 불합리한 규제
- 입지·토지이용 제한, 지역 활성화 저해, 환경자원 활용 제한 규제 등
- 산업육성 저해, 기업활동 제한 및 불편 초래 규제 등
○ 기간 및 일정
-
접수기간 : 2025. 6. 1.(일) ~ 7. 10.(목)
- 접수(6.1. ~ 7.10.) → 검토·협의(7월) → 심사·시상(8월) → 후속조치(9월~)
○ 지원자격
-
규제개선에 관심 있는 누구나 (전 국민)
○ 접수방법
-
우편·방문 또는 이메일 (첨부 공고문 내 '제출방법 및 기한' 참조)
- 우편·방문 : 24265 강원특별자치도 춘천시 중앙로 5, 강원특별자치도청 제2별관 규제혁신과
- 이메일 : leesc135@korea.kr
○ 제출서류
-
규제개선 과제 제안서 (첨부 공고문 내 '붙임 1 제안서 서식' 참조)
○ 심사기준
-
효과성, 실현가능성, 창의성
○ 시상내역
-
4명, 강원특별자치도지사 상장 및 강원상품권
- 최우수(1명, 100만 원), 우수(1명, 80만 원), 장려(2명, 각 60만 원)
○ 유의사항
-
첨부 공고문 내 '4. 유의사항' 참조
○ 문의
-
강원특별자치도 특별자치추진단 규제혁신과
- ☏ 033-249-4747",allcon_output/2025년 강원특별자치도 규제개선 과제 공모.jpg,,https://www.all-con.co.kr/view/contest/525837,"2025년 강원특별자치도에서는 민생규제, 지역숙원규제 및 기업규제 개선 과제를 발굴하기 위해 공모를 진행하며, 이에 대한 참여는 2025년 6월 1일부터 7월 10일까지 가능하다.","공모, 규제개선, 전 국민"
『오구오구 동대문』2025 동대문구 59초 숏폼 공모전,D-32,"『오구오구 동대문』 – 59초 숏폼 공모전
○ 공모개요
-
동대문구에서는 『오구오구 동대문』 59초 숏폼 공모전을 개최하여 동대문구에 대한 관심을 높이고,
누구나 주인공이 되어 동대문구를 이야기하며 함께 공감할 수 있는 무대를 열고자 하오니
많은 관심과 참여 부탁드립니다.
○ 공모주제
-
동대문구 100% 즐기기 : 내가 직접 즐기고 느낀 동대문구의 매력을 자유롭게 표현
※ 예시 : 걷기좋은곳, 역사적 명소, 축제, 데이트코스, 전통시장 탐방, 나만아는 장소 등
○ 기간 및 일정
-
2025. 5. 9.(금) ~ 7. 6.(일) [59일간]
○ 지원자격
-
대한민국 국민 누구나
○ 접수방법
-
다음 ①, ②과정을 모두 완수해야 신청 완료
① 개인 인스타그램 또는 유튜브에 해시태그 포함하여 영상 게재
❍ 인스타그램 : @ddm4you1004 #동대문구 #오구오구동대문
❍ 유튜브 : #ddmdbs4you #동대문구 #오구오구동대문
② 참가신청서, 개인정보 수집·이용 동의서를 다운로드 및 작성하여 작품 영상 파일과 함께 홍보담당관 이메일로 제출
-
제출처 : 홍보담당관 이메일(ddm4you@naver.com)
○ 출품규격
-
수 량 : 개인(팀) 당 2작품까지 가능(중복수상 불가)
- 분 량 : 15초 이상 ~ 60초 미만(순수창작 영상물)
- 해상도 : 1920×1080 픽셀 이상
- 파일형식 : mp4, avi, mov 등 영상파일
○ 제출서류
1. 참가신청서 및 개인정보 수집·이용 동의서(붙임) ※ 서명란에 자필서명 필수
2. 작품 영상 파일 ※ 파일명 : 영상제목_이름(팀명)
○ 시상내역
-
최우수상 1명 300만원, 우수상 2명 각100만원, 장려상 3명 각30만원, 특별상 1명 20만원
○ 문의
-
동대문구청 홍보담당관 ☏ 02-2127-5088",allcon_output/오구오구 동대문2025 동대문구 59초 숏폼 공모전.jpg,,https://www.all-con.co.kr/view/contest/525831,"동대문구에서는 누구나 참여할 수 있는 ""오구오구 동대문"" 59초 숏폼 공모전을 개최하며, 참가자들은 동대문구의 매력을 자유롭게 표현하는 영상을 제작하여 제출하면 됩니다.","동대문구, 공모전, 누구나 참여 가능"
해군 카카오톡 이모티콘 공모전,D-54,"해군 카카오톡 이모티콘 공모전
○ 공모주제
- 해군 관련 자유주제
○ 기간 및 일정
-
'25. 5.28.(수) ~ 7.28.(월)
○ 지원자격
- 전 국민 누구나
○ 접수방법
- 참가 신청서 및 이모티콘 작품을 이메일로 제출
- 이메일 : roknavyrecruit@gmail.com
○ 출품규격
- 정지형 또는 모션형 이모티콘 (참가 신청서 참고)
○ 시상내역
- 총 상금 400만원
- 최우수(1명) : 200만원
- 우수(1명) : 120만원
- 장려(1명) : 80만원
○ 문의
- 해군본부 인재획득과 인재획득홍보담당 ☏ 042-553-1164 / roknavyrecruit@gmail.com",allcon_output/해군 카카오톡 이모티콘 공모전.jpg,,https://www.all-con.co.kr/view/contest/525815,"해군 카카오톡 이모티콘 공모전이 전 국민 대상으로 진행되며, 참가 신청서와 작품을 이메일로 제출하면 되며, 총 상금은 400만원입니다.","해군, 이모티콘, 공모전"
"2025년 소상공인365,공공데이터 숏폼 영상 공모전",D-30,"2025년 소상공인365,공공데이터 숏폼 영상 공모전
○ 공모개요
-
2025년 소상공인365, 공공데이터 숏폼 공모전을 개최합니다~!
○ 공모주제
-
소상공인365 및 공공데이터* 활용사례
* 공공데이터 포털(data.go.kr)에서 제공기관이 ‘소상공인시장진흥공단’인 데이터
○ 기간 및 일정
-
공모기간 : ‘25. 5. 29.(목) ~ ’25. 7. 4.(금)
○ 지원자격
-
국민 누구나 개인(1명) 또는 팀 단위 (최대 5명)
○ 접수방법
-
제출서류 일체를 압축하여 이메일로(E-mail) 제출
- 이메일(E-mail) 주소 : bigdata@semas.or.kr
- 이메일(E-mail) 제목 : [숏폼공모전제출] 신청자(대표자)명
○ 시상내역
-
시상금 : 총 290만원
- 대상 1명(팀) : 디지털 온누리상품권 100만원
- 최우수상 2명(팀) : 디지털 온누리상품권 50만원
- 우수상 3명(팀) : 디지털 온누리상품권 30만원
○ 유의사항
-
자세한 내용은 소상공인365 홈페이지 공지사항을 참고바랍니다!
https://bigdata.sbiz.or.kr/#/notice/317676221877157888
○ 문의
- ☏
042-363-7563, 02-2038-2667
많은 분들의 참여 부탁드립니다",allcon_output/2025년 소상공인365공공데이터 숏폼 영상 공모전.jpg,,https://www.all-con.co.kr/view/contest/525809,"2025년 소상공인365와 공공데이터를 활용한 숏폼 영상 공모전이 '25년 5월 29일부터 7월 4일까지 개최되며, 국민 누구나 개인 또는 팀 단위로 참여 가능하며, 시상금은 총 290만원입니다.","소상공인365, 공공데이터, 공모전"
